rem Request open port-numbers
rem port-nr:  	139	SMB-original
rem 		445	SMB-later versions
rem            1521     Oracle-client
rem            3389     Windows WBT-server used for remote-desktop
rem            5985     Windows remote management via http
rem           54688     
rem           56924     
rem           57235

netstat -na

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    172.30.0.34:1521       172.29.56.79:51376     ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.79:55651     ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.80:55670     ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.96:51118     ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.118:50800    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.118:50817    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.125:58359    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.133:49935    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.141:53754    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.153:53029    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.159:63173    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.175:49428    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.175:49433    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.175:49436    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.188:51864    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.225:57761    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.234:56337    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.234:56443    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.234:56545    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.234:57538    ESTABLISHED
  TCP    172.30.0.34:1521       172.29.56.234:63334    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.0.25:56238      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.0.25:56519      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.0.38:1064       ESTABLISHED
  TCP    172.30.0.34:1521       172.30.0.38:1070       ESTABLISHED
  TCP    172.30.0.34:1521       172.30.0.38:1166       ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:52426     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:52461     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:53401     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:54438     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:54540     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:57032     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:57892     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.2.160:58159     ESTABLISHED
  TCP    172.30.0.34:1521       172.30.65.3:63010      ESTABLISHED
  TCP    172.30.0.34:1521       172.30.65.206:63311    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.65.206:64177    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.65.245:55507    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.66.217:64649    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.66.217:64766    ESTABLISHED
  TCP    172.30.0.34:1521       172.30.66.244:55284    ESTABLISHED
