pa.part_no;pa.description;pp.plant;h.revision;h.status;h.frame_id;h.class3_id;productcat_desc;st.sort_desc;sp.section_id;section_desc;sp.sub_section_id;subsection_desc;sp.property_group;prop_group_desc;sp.property;property_desc;sp.attribute;sp.uom_id;uom_desc;sp.test_method;test_desc;sp.num_1;sp.num_2;sp.char_1;sp.char_2;ch.characteristic_id;char_desc
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704178;Labels Wet grip;714102;Europe;0;;;;;;;;;903480;B
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;713132;Temperature;0;;;;;;;;;903479;A
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714127;Traction;0;;;;;;;;;903479;A
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714128;Tread wear;0;;;;;;;;;903489;400
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700755;SAP information;0;(none);704056;SAP articlecode;713825;Commercial DA article code;0;;;;;;;;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700755;SAP information;0;(none);704056;SAP articlecode;713824;Commercial article code;0;;;;;;;AP19555016VQT6A02;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703455;Brand;0;;;;;;;;;900486;Vredestein
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703418;Category;0;;;;;;;;;900529;Winter
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703544;Load index class;0;;;;;;;;;900611;XL
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703422;Productline;0;;;;;;;;;903289;Wintrac Pro
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;714215;Structure;0;;;;;;;;;903544;Radial
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;714201;Traction marking;0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;711128;Tubetype/tubeless;0;;;;;;;;;901099;Tubeless
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;711748;Tyre class;0;;;;;;;;;901322;C1
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;705088;Winter indication;0;;;;;;;;;903196;M&S+Alpine
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;712289;DOT Manufacturers Code;0;;;;;;;4M0000;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705629;DOT Plant Code;0;;;;;;;023;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;713757;Made in ;0;;;;;;;HUNGARY;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705210;Max. load;0;;;;;;;650 kg/1433 lbs;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705669;Max. pressure;0;700591;kPa;;;;;350 kPa (51 psi);;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705229;Plies sidewall;0;;;;;;;1 POLYESTER;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705230;Plies tread;0;;;;;;;1 POLYESTER + 2 STEEL + 1 POLYAMIDE;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705233;Quality grading;0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705634;Size designation;0;;;;;;;215/45 R 18 93V;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703417;Aspect ratio;0;;;;;;;45;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703421;Load index;0;;;;;;;93;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703420;Load index (dual);0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;711189;Ply rating;0;;;;;;;No;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703423;Rimcode;0;;;;;;;18;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703424;Section width;0;;;;;;;215;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703425;Speed index;0;;;;;;;V;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704176;Labels Noise;714102;Europe;0;;;;;2;72;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704177;Labels Rolling resistance;714102;Europe;0;;;;;;;;;900614;E
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704178;Labels Wet grip;714102;Europe;0;;;;;;;;;903480;B
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;713132;Temperature;0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714127;Traction;0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714128;Tread wear;0;;;;;;;;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700755;SAP information;0;(none);704056;SAP articlecode;713825;Commercial DA article code;0;;;;;;;AP21545018VWPR202;;;
GF_2154518WPRXV;215/45R18 93V XL Wintrac Pro;GYO;12;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700755;SAP information;0;(none);704056;SAP articlecode;713824;Commercial article code;0;;;;;;;AP21545018VWPRA02;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;703455;Brand;0;;;;;;;;;900903;Apollo
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;703418;Category;0;;;;;;;;;900530;All Season
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;703544;Load index class;0;;;;;;;;;900611;XL
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;703422;Productline;0;;;;;;;;;901390;Alnac 4G All season
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;714215;Structure;0;;;;;;;;;903544;Radial
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;711128;Tubetype/tubeless;0;;;;;;;;;901099;Tubeless
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;711748;Tyre class;0;;;;;;;;;901322;C1
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701563;General tyre characteristics;705088;Winter indication;0;;;;;;;;;903196;M&S+Alpine
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;712289;DOT Manufacturers Code;0;;;;;;;5LC726;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705629;DOT Plant Code;0;;;;;;;023;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;713757;Made in ;0;;;;;;;HUNGARY;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705210;Max. load;0;;;;;;;850 kg (1874 lbs);;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705669;Max. pressure;0;700591;kPa;;;;;350 kPa (51 psi);;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705229;Plies sidewall;0;;;;;;;1 POLYESTER;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705230;Plies tread;0;;;;;;;1 POLYESTER + 2 STEEL + 2 POLYAMIDE;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705233;Quality grading;0;;;;;;;400 A A;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701568;Sidewall designation;705634;Size designation;0;;;;;;;225/55 R 18 102V;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701569;Size;703417;Aspect ratio;0;;;;;;;55;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701569;Size;703421;Load index;0;;;;;;;102;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701569;Size;703423;Rimcode;0;;;;;;;18;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701569;Size;703424;Section width;0;;;;;;;225;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700579;General information;0;(none);701569;Size;703425;Speed index;0;;;;;;;V;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704176;Labels Noise;714102;Europe;0;;;;;2;72;;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704177;Labels Rolling resistance;714102;Europe;0;;;;;;;;;903480;B
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704178;Labels Wet grip;714102;Europe;0;;;;;;;;;900612;C
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704180;Quality grading UTQG;713132;Temperature;0;;;;;;;;;903479;A
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714127;Traction;0;;;;;;;;;903479;A
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;701095;Labels and certification;0;(none);704180;Quality grading UTQG;714128;Tread wear;0;;;;;;;;;903489;400
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700755;SAP information;0;(none);704056;SAP articlecode;713825;Commercial DA article code;0;;;;;;;AL22555018VAA4202;;;
GF_2255518AA4XV;225/55R18 102V Alnac 4G All Season XL;GYO;10;116;A_PCR;700309;Passenger Car Tyres;SUBMIT QR3;700755;SAP information;0;(none);704056;SAP articlecode;713824;Commercial article code;0;;;;;;;AL22555018VAA4A02;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;703455;Brand;0;;;;;;;;;900486;Vredestein
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;703418;Category;0;;;;;;;;;900528;Summer
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;703544;Load index class;0;;;;;;;;;900611;XL
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;703422;Productline;0;;;;;;;;;699;Ultrac * MO
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;714215;Structure;0;;;;;;;;;903544;Radial
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;714201;Traction marking;0;;;;;;;;;900484;Yes
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;711128;Tubetype/tubeless;0;;;;;;;;;901099;Tubeless
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;711748;Tyre class;0;;;;;;;;;901322;C1
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701563;General tyre characteristics;705088;Winter indication;0;;;;;;;;;900596;None
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;712289;DOT Manufacturers Code;0;;;;;;;5LFA13;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705629;DOT Plant Code;0;;;;;;;023;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;713757;Made in ;0;;;;;;;HUNGARY;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705210;Max. load;0;;;;;;;850 kg (1874 Ibs);;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705669;Max. pressure;0;700591;kPa;;;;;350 kPa (51 psi);;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705229;Plies sidewall;0;;;;;;;2 POLYESTER;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705230;Plies tread;0;;;;;;;2 POLYESTER + 2 STEEL + 1 POLYAMIDE;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705233;Quality grading;0;;;;;;;320 AA A;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701568;Sidewall designation;705634;Size designation;0;;;;;;;225/55 R 18 102Y;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701569;Size;703417;Aspect ratio;0;;;;;;;55;;;
GF_2255518ULAQB;225/55 R18 102 Y XL Ultrac* MO - RM spec;GYO;1;126;A_PCR;700309;Passenger Car Tyres;CRRNT QR3;700579;General information;0;(none);701569;Size;703421;Load index;0;;;;;;;102;;;
